[I 2025-03-23 05:44:16,195] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
[I 2025-03-23 05:48:29,818] Trial 132 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5453195751413947, 'batch_size': 102, 'attention_heads': 8, 'hidden_dimension': 186, 'number_of_hidden_layers': 1, 'dropout_rate': 0.473529976279303, 'global_pooling': 'mean', 'learning_rate': 0.00045722149817902235, 'weight_decay': 8.476135191720784e-05, 'beta_0': 0.8393064806940972, 'beta_1': 0.9833632733962632, 'epsilon': 3.885818221250552e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 14, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 05:52:57,089] Trial 133 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.49783084095005714, 'batch_size': 106, 'attention_heads': 7, 'hidden_dimension': 185, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5658684441205011, 'global_pooling': 'mean', 'learning_rate': 0.000972221214002285, 'weight_decay': 7.868675488760034e-05, 'beta_0': 0.8818090245102058, 'beta_1': 0.9831932852511256, 'epsilon': 4.790886300645172e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 14, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 05:57:25,874] Trial 134 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4842315435149707, 'batch_size': 107, 'attention_heads': 7, 'hidden_dimension': 227, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5872675428671648, 'global_pooling': 'mean', 'learning_rate': 0.00044305775754178517, 'weight_decay': 5.4573654713370155e-05, 'beta_0': 0.8824057975019135, 'beta_1': 0.9832889388931385, 'epsilon': 2.7055683874373964e-07, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 14, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:01:40,830] Trial 135 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5022498532552723, 'batch_size': 101, 'attention_heads': 8, 'hidden_dimension': 188, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5630028550300464, 'global_pooling': 'mean', 'learning_rate': 0.0009766255894643001, 'weight_decay': 4.87179619806204e-05, 'beta_0': 0.8384385302748844, 'beta_1': 0.9823376906964961, 'epsilon': 3.7901754950182236e-07, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 13, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:05:59,449] Trial 136 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5534078785773969, 'batch_size': 95, 'attention_heads': 8, 'hidden_dimension': 185, 'number_of_hidden_layers': 1, 'dropout_rate': 0.573415609564014, 'global_pooling': 'mean', 'learning_rate': 0.0010040841266738966, 'weight_decay': 4.5466652998515945e-05, 'beta_0': 0.8769894973610618, 'beta_1': 0.9822331117968567, 'epsilon': 4.1635060911684775e-07, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 13, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:10:07,045] Trial 137 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5332228739984122, 'batch_size': 83, 'attention_heads': 8, 'hidden_dimension': 126, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5619304570054161, 'global_pooling': 'mean', 'learning_rate': 0.0013803262155449064, 'weight_decay': 6.548148459900944e-05, 'beta_0': 0.8800047140673813, 'beta_1': 0.9805510021757967, 'epsilon': 3.586217052345721e-07, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:14:01,723] Trial 138 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5771747657036246, 'batch_size': 83, 'attention_heads': 8, 'hidden_dimension': 137, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5369725270870074, 'global_pooling': 'mean', 'learning_rate': 0.0013779961610425023, 'weight_decay': 6.449811934453177e-05, 'beta_0': 0.8802894482622519, 'beta_1': 0.9807132624244128, 'epsilon': 3.148262956090193e-07, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:18:01,391] Trial 139 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5708848352529688, 'batch_size': 90, 'attention_heads': 7, 'hidden_dimension': 122, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5986041223251616, 'global_pooling': 'mean', 'learning_rate': 0.0013530242504285943, 'weight_decay': 6.332656293676144e-05, 'beta_0': 0.8801198308717361, 'beta_1': 0.9800005392833365, 'epsilon': 1.8392626414147907e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:21:57,583] Trial 140 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6100556146009302, 'batch_size': 80, 'attention_heads': 8, 'hidden_dimension': 134, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5640139289069513, 'global_pooling': 'mean', 'learning_rate': 0.0027282587544224406, 'weight_decay': 7.334442483868395e-05, 'beta_0': 0.8848457013167892, 'beta_1': 0.9808470996274437, 'epsilon': 3.266154862629911e-07, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 13, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:26:20,013] Trial 141 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.609855825360325, 'batch_size': 85, 'attention_heads': 8, 'hidden_dimension': 130, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5620080089047317, 'global_pooling': 'mean', 'learning_rate': 0.002753244796431131, 'weight_decay': 0.00012827552459805094, 'beta_0': 0.8830760293804244, 'beta_1': 0.9805452914283053, 'epsilon': 3.591745004331791e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:30:10,709] Trial 142 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6268731311151264, 'batch_size': 80, 'attention_heads': 7, 'hidden_dimension': 136, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5336185735276637, 'global_pooling': 'mean', 'learning_rate': 0.0014738281611775448, 'weight_decay': 7.359406066290947e-05, 'beta_0': 0.8862434923252769, 'beta_1': 0.9804134989093682, 'epsilon': 2.6586696234022653e-07, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
